scenario_id,start_generator_seed,x,y,yaw,goal_x,goal_y,obstacle_phase_seed,straight_line_distance,start_clearance,heading_error,difficulty,distance_bin,clearance_bin,heading_bin,physical_subset
S001,6923038976619761319,0.996702,1.766887,1.348959,2.0,0.0,7377625241477902987,2.03187,0.552345,-2.403323,open,1,1,2,1
S002,8277905566687417466,-0.703017,-0.854292,-0.690034,2.0,0.0,6535663936662573253,2.834805,0.641467,0.99615,obstructed,2,1,0,1
S003,6584703066768509107,-0.919713,-0.935649,-3.120519,2.0,0.0,6100785513972083323,3.065969,0.773769,-2.852547,obstructed,2,1,2,1
S004,525619621498766200,-1.200575,-1.950713,-2.114065,2.0,0.0,7537182010159123034,3.748194,0.989287,2.661432,obstructed,3,2,2,1
S005,7765230755749719119,-1.204649,-1.498804,0.904175,2.0,0.0,3506429653415628637,3.537823,0.925638,-0.466702,obstructed,3,2,0,1
S006,24735898427345830,0.827363,-0.377395,2.247897,2.0,0.0,7611026603524310321,1.23187,0.301533,-1.93653,open,0,0,1,1
S007,958335132746291018,-0.462686,1.594682,-2.203893,2.0,0.0,6334068180086618703,2.933911,1.04166,1.629251,obstructed,2,2,1,1
S008,7773882471415036099,-0.091912,1.454284,-2.002861,2.0,0.0,4820060485122528682,2.547751,0.654339,1.395368,obstructed,2,1,1,0
S009,4863581224047537559,-1.26932,-1.115147,2.416338,2.0,0.0,4966692783396689434,3.454273,1.032745,-2.087619,obstructed,2,2,1,0
S010,2206292510853321317,-0.944619,1.917832,3.033056,2.0,0.0,7123083238697451953,3.514094,1.022168,2.67284,obstructed,3,2,2,0
S011,1593403534819553612,0.836291,1.683908,-1.611507,2.0,0.0,8076818538954442475,2.046891,0.499005,0.645423,open,1,0,0,1
S012,5664193757660178809,0.373897,0.22309,-1.204547,2.0,0.0,1121335301315524719,1.641335,0.335567,1.068205,open,1,0,1,1
S013,8567327729567304146,-0.789227,-0.813108,-2.886232,2.0,0.0,142871991681220567,2.905329,0.734155,-3.113297,obstructed,2,1,2,0
S014,6887737101353775215,0.659702,-0.380411,-3.107855,2.0,0.0,8735348015011234836,1.393238,0.451615,-2.898778,open,0,0,2,1
S015,5033090413401822288,1.527261,1.823768,-2.34984,2.0,0.0,1691519637800896146,1.884042,0.794765,1.032671,open,1,1,0,0
S016,9073199220986247355,0.679915,-0.025207,0.728742,2.0,0.0,7152054971442552029,1.320326,0.519331,-0.709649,open,0,1,0,0
S017,873139258739794196,0.291385,1.888346,-2.247782,2.0,0.0,4988148757651684525,2.546609,0.8319,1.412458,obstructed,2,2,1,0
S018,5717332332142352321,0.947691,1.677404,2.011574,2.0,0.0,1678311939718709313,1.980161,0.467592,-3.022087,open,1,0,2,0
S019,5685658763895028570,1.766647,1.984095,0.33826,2.0,0.0,2402511897429378493,1.997771,0.955905,-1.791982,open,1,2,1,0
S020,5008424517230763859,-1.146385,1.87333,-1.809272,2.0,0.0,1736155836346040354,3.661844,1.06667,1.272248,obstructed,3,2,1,0
S021,7491618669138007975,-0.647744,-0.45134,-2.211485,2.0,0.0,7786347535630279500,2.685937,0.853949,2.380325,obstructed,2,2,2,0
S022,4892408064954022476,1.113891,1.729206,2.945446,2.0,0.0,9185446363517726647,1.943024,0.52346,2.240491,open,1,1,2,0
S023,2307210930597149530,1.957221,0.553831,-0.614747,2.0,0.0,6249106437930848740,0.555481,0.796326,-0.87896,open,0,1,0,0
S024,3051697092663645932,-1.144408,-1.496256,-0.097897,2.0,0.0,7730036599033852612,3.482253,0.865343,0.542036,obstructed,2,2,0,0
S025,5391408328285087708,1.429332,1.758858,1.979338,2.0,0.0,7889185244910464394,1.84912,0.682909,3.046789,open,1,1,2,0
S026,1884278569034276964,-1.021892,-1.151246,0.257153,2.0,0.0,5165287217286061597,3.233759,0.784668,0.10684,obstructed,2,1,0,0
S027,6123446387229724963,-1.359167,-1.148851,-1.699046,2.0,0.0,9154234080075310359,3.550192,1.11213,2.028581,obstructed,3,2,1,0
S028,7010763434961163191,-1.694061,1.230106,-2.247695,2.0,0.0,7863247957563397057,3.893487,0.530106,1.926249,obstructed,3,1,1,0
S029,1088998064060384441,0.768487,-1.314824,-0.80768,2.0,0.0,8723697284408163528,1.801496,0.340314,1.625784,obstructed,1,0,1,0
S030,3532008604331727006,-1.350552,-1.060197,-0.520408,2.0,0.0,5676434820119907158,3.514287,1.12568,0.826864,obstructed,3,2,0,0
S031,7213821371410938203,-0.885523,-0.455319,1.140842,2.0,0.0,6491248335818814655,2.921225,0.72687,-0.984338,obstructed,2,1,0,0
S032,349997371585434632,-1.53412,-0.190133,2.905969,2.0,0.0,2016341455275802400,3.539231,0.390133,-2.852222,obstructed,3,0,2,0
S033,6396454978078729566,1.851712,0.900246,1.139046,2.0,0.0,1250538148339061881,0.912378,0.731448,-2.546588,open,0,1,2,0
S034,5914478052460778175,-1.490423,-0.977926,-2.891706,2.0,0.0,8933595573050347034,3.624829,1.177926,-3.118309,obstructed,3,2,2,0
S035,2528128560837714712,-1.265477,-0.106113,-2.053702,2.0,0.0,4866208421930011910,3.2672,0.306113,2.086186,obstructed,2,0,1,0
S036,3254412535961131733,-0.208354,1.507427,-2.592664,2.0,0.0,8731182122126411774,2.673792,0.780063,1.993711,obstructed,2,1,1,0
S037,7091164482167837286,-1.304318,-1.982911,-2.405952,2.0,0.0,3192862091782153125,3.853628,0.957089,2.946443,obstructed,3,2,2,0
S038,2107152051272376214,0.935892,1.552567,-1.1501,2.0,0.0,4255586497388216266,1.88223,0.347149,0.180155,open,1,0,0,0
S039,3970446576587313184,1.93541,0.733288,-0.943169,2.0,0.0,6010895269592460542,0.736127,0.776944,-0.539771,open,0,1,0,0
S040,6312411839060975045,-1.00339,-0.949241,-2.834672,2.0,0.0,6769265945331721192,3.149827,0.841406,3.140793,obstructed,2,2,2,0
S041,5825744076381589715,-1.639024,-0.679568,1.912167,2.0,0.0,2550512550982335365,3.701933,0.879568,-1.727549,obstructed,3,2,1,0
S042,72371966800378944,1.84645,1.168472,-2.975323,2.0,0.0,8964653142500197651,1.178517,0.79271,1.535189,open,0,1,1,0
S043,3015882567882846110,-0.062328,1.750373,-3.102559,2.0,0.0,533754282458417253,2.704996,0.845687,2.398799,obstructed,2,2,2,0
S044,3878526856526052352,-0.74183,-0.548727,-1.562909,2.0,0.0,8120250003121205951,2.7962,0.877788,1.760431,obstructed,2,2,1,0
S045,952272788385699782,0.879748,-0.301993,-2.869194,2.0,0.0,4603545952636120397,1.160243,0.310685,3.132511,open,0,0,2,0
S046,5642987449859473650,1.063224,0.183294,2.853122,2.0,0.0,8760887998136151090,0.95454,0.411102,-3.046346,open,0,0,2,0
S047,5353814805258012543,1.306525,1.585443,-2.633578,2.0,0.0,1376004306533805707,1.730473,0.470583,1.475109,open,1,0,1,0
S048,8938161556872084634,0.917919,-1.951703,0.039651,2.0,0.0,6829597240613583107,2.231601,0.766079,1.024908,obstructed,1,1,0,0
S049,473128396289464710,-0.658054,1.852569,-2.188475,2.0,0.0,6712276699901289933,3.239948,1.087431,1.579789,obstructed,2,2,1,0
S050,1901571617265226655,-0.920658,1.919544,-0.01067,2.0,0.0,6748607516719762320,3.494981,1.020456,-0.570771,obstructed,2,2,0,0
S051,8045617569574024177,0.583939,1.834769,1.674873,2.0,0.0,2031598600191782287,2.317673,0.70761,-2.588367,open,1,1,2,0
S052,2263834986273049445,-1.051751,1.87656,2.086183,2.0,0.0,5941089758125161620,3.58255,1.06344,-2.637495,obstructed,3,2,2,0
S053,2473701513566037432,-0.802375,-1.4289,-3.014419,2.0,0.0,9071779797777182398,3.145641,0.522652,-2.797239,obstructed,2,1,2,0
S054,3894564464613338752,0.666723,-0.466396,2.556242,2.0,0.0,6242935327299389784,1.412499,0.415534,-2.219735,open,0,0,2,0
S055,3027657565481026811,0.7074,-1.417547,2.02527,2.0,0.0,2063098738839061599,1.918399,0.428144,-1.193801,obstructed,1,0,1,0
S056,5751659528338810386,0.847825,-0.086711,1.119104,2.0,0.0,7491746828167893887,1.155433,0.507836,-1.043987,open,0,1,0,0
S057,6750850294393203769,-0.565422,1.959095,2.644065,2.0,0.0,6819744942386424663,3.227916,0.980905,2.986937,obstructed,2,2,2,0
S058,7405278274066574038,1.900448,1.442801,-1.627187,2.0,0.0,779779533058434913,1.446232,0.912901,0.125281,open,0,2,0,0
S059,6825720211097532000,-1.492624,1.926531,0.9912,2.0,0.0,2887860475767916549,3.988727,1.013469,-1.49527,obstructed,3,2,1,0
S060,6665887454704361340,1.067044,-0.198879,2.735895,2.0,0.0,2290265186974528022,0.953919,0.33809,-2.525867,open,0,0,2,0
S061,7634712926488307080,-1.772896,-1.302111,1.165058,2.0,0.0,1762973688741843461,3.99127,1.167104,-0.832735,obstructed,3,2,0,0
S062,8717129804639834127,-1.41265,-1.252755,-1.652864,2.0,0.0,3109976532145663017,3.635323,1.146354,2.004683,obstructed,3,2,1,0
S063,3325715764288006850,1.6849,-1.608743,-3.057608,2.0,0.0,978943915997195624,1.639312,0.352015,-1.848199,open,1,0,1,0
S064,4638374602301424758,-1.723916,-0.346842,0.957865,2.0,0.0,3909134378012404507,3.740033,0.547365,-0.864994,obstructed,3,1,0,0
S065,6822537610512205063,1.909669,-1.41518,-2.876216,2.0,0.0,5238175844855470669,1.41806,0.33008,-1.899916,open,0,0,1,0
S066,2762249088914961262,1.14229,-0.003091,1.844419,2.0,0.0,2476548888187169782,0.857715,0.536713,-1.840816,open,0,1,1,0
S067,4666237620767992995,1.437246,-1.792262,1.950794,2.0,0.0,2361977361300612772,1.878535,0.5584,-0.68424,obstructed,1,1,0,0
S068,2390723950736638308,-1.23477,1.674539,-2.158118,2.0,0.0,2063468456246755562,3.642502,0.974539,1.680435,obstructed,3,2,1,0
S069,4422728310304664389,1.578968,-0.347015,2.904489,2.0,0.0,5618550944707559080,0.545608,0.347971,-2.215164,open,0,0,2,0
S070,2490262104311200654,-1.533546,-1.629345,-1.141007,2.0,0.0,1946426986499356431,3.891107,1.263997,1.57306,obstructed,3,2,1,0
S071,8508841223402912143,1.700894,1.860829,1.896923,2.0,0.0,3223568731856455724,1.884714,0.941111,2.97484,open,1,2,2,0
S072,6625295340389065422,-1.180149,1.254066,2.89739,2.0,0.0,5645633958822169377,3.418483,0.554422,3.010176,obstructed,2,1,2,0
S073,4765997467085199355,1.330671,-1.69943,-2.353058,2.0,0.0,7770049153443689996,1.82649,0.507591,-2.734528,obstructed,1,1,2,0
S074,425461740053802212,0.700496,-1.772536,0.948275,2.0,0.0,7372142504296856588,2.197861,0.491183,-0.010097,obstructed,1,0,0,0
S075,1124545847879398906,0.226741,0.526017,0.231786,2.0,0.0,8963204246390053377,1.849633,0.335593,-0.520156,open,1,0,0,0
S076,1278473732507072549,0.967528,-1.944449,2.834492,2.0,0.0,6618986643466340164,2.201563,0.80655,-1.751823,obstructed,1,2,1,0
S077,1390969930470754625,1.051388,-1.50361,-0.012952,2.0,0.0,415748530349679787,1.777838,0.419408,1.020925,obstructed,1,0,0,0
S078,4819802725510145327,-1.86305,-1.605779,-0.198007,2.0,0.0,1803047437743210500,4.183501,1.07695,0.591954,obstructed,3,2,0,0
S079,8782269439444051781,-1.455801,-1.79629,-2.030466,2.0,0.0,8625526332685253976,3.894768,1.14371,2.50982,obstructed,3,2,2,0
S080,1975110111608809734,-1.290544,1.546761,-1.214163,2.0,0.0,3961956844714518717,3.635952,0.846761,0.774751,obstructed,3,2,0,0
S081,5813386586102782101,-0.963751,-1.68377,1.449911,2.0,0.0,8314647210876972824,3.408651,0.711698,-0.933262,obstructed,2,1,0,0
S082,6078416330217897188,0.691421,1.884419,0.038436,2.0,0.0,6860160839577987890,2.294213,0.729124,-1.002261,open,1,1,0,0
S083,6074780078745855644,-0.602423,-0.199919,1.048165,2.0,0.0,159746224367892097,2.61009,0.719051,-0.971495,obstructed,2,1,0,0
S084,4774178608586189099,1.0182,1.760214,0.295154,2.0,0.0,7433272687298788697,2.015511,0.545321,-1.357158,open,1,1,1,0
S085,8200237481761027526,-0.813786,-1.402066,-0.252418,2.0,0.0,136427671982319934,3.143753,0.535197,0.714692,obstructed,2,1,0,0
S086,4540494745460065096,0.766882,-1.646027,-2.405404,2.0,0.0,3986076329474421743,2.056693,0.51154,-2.94994,obstructed,1,1,2,0
S087,7915882229840350706,1.750842,0.849112,1.985093,2.0,0.0,8767206632291074889,0.884913,0.621063,3.012718,open,0,1,2,0
S088,7378813061744449021,-1.72524,-1.366104,-2.227408,2.0,0.0,6132327862468214853,3.967827,1.21476,2.578896,obstructed,3,2,2,0
S089,4460905059374800051,1.450977,0.489154,2.540963,2.0,0.0,5683702278377059517,0.735322,0.320456,3.014428,open,0,0,2,0
S090,3245550555926831143,1.90775,1.335413,-2.645882,2.0,0.0,1169880885450627706,1.338596,0.893406,1.144056,open,0,2,1,0
S091,2613859790025668970,-1.356558,1.245227,0.194574,2.0,0.0,5259433351223638625,3.580093,0.545227,-0.549818,obstructed,3,1,0,0
S092,3843120149715273646,-1.921612,-1.745018,-0.335403,2.0,0.0,766832626004330812,4.292334,1.018388,0.75407,obstructed,3,2,0,0
S093,6684720625797607033,1.82791,0.69681,-2.569568,2.0,0.0,7824359546929774720,0.717746,0.666026,1.240895,open,0,1,1,0
S094,3510028094016916279,1.996629,0.608949,-1.787969,2.0,0.0,6586932708470904954,0.608958,0.832098,0.222709,open,0,2,0,0
S095,4572067110811943303,1.78266,0.491012,-0.457073,2.0,0.0,3857187643894974781,0.536963,0.633995,-0.697009,open,0,1,0,0
S096,1784219988629790695,1.484384,1.08797,0.476586,2.0,0.0,4496207212159002239,1.203968,0.421983,-1.604812,open,0,0,1,0
S097,3738669368465502103,1.618739,1.346452,-1.193233,2.0,0.0,6021608719606641221,1.39939,0.616111,-0.101627,open,0,1,0,0
S098,6593287919614709907,1.792661,0.87773,0.026769,2.0,0.0,6505296311443626561,0.901887,0.668663,-1.365597,open,0,1,1,0
S099,1883443851938577046,1.283839,-0.053092,0.530909,2.0,0.0,9133040233240123119,0.718127,0.522876,-0.456911,open,0,1,0,0
S100,7264189731055342906,1.66698,0.417638,0.698387,2.0,0.0,9184458442197433133,0.534157,0.54654,-1.596036,open,0,1,1,0
