algorithm,checkpoint_step,n_runs,n_episodes,success,sd,mean_return
DQN,25000,5,100,0.4,0.10606601717798214,48.0180047387798
DQN,50000,5,100,0.58,0.07582875444051547,70.42115119934746
DQN,75000,5,100,0.61,0.10839741694339397,72.09727238796718
DQN,100000,5,100,0.77,0.10368220676663861,88.89627745700155
DQN,125000,5,100,0.8300000000000001,0.11510864433221338,98.36330595437644
DQN,150000,5,100,0.75,0.0790569415042095,91.71545432218389
DQN,175000,5,100,0.9099999999999999,0.0894427190999916,108.80287702298244
DQN,200000,5,100,0.8300000000000001,0.15247950681976907,98.62788319533414
DQN,225000,5,100,0.8699999999999999,0.044721359549995794,101.86613616814427
DQN,250000,5,100,0.9099999999999999,0.06519202405202648,108.08658409929933
DQN,275000,5,100,0.9199999999999999,0.07582875444051547,107.31071464902121
DQN,300000,5,100,0.8800000000000001,0.02738612787525833,104.10958810249103
DQN,325000,5,100,0.9400000000000001,0.022360679774997862,112.65907656574491
DQN,350000,5,100,0.9,0.06123724356957947,102.02225757992854
DQN,375000,5,100,0.8300000000000001,0.15247950681976905,92.28280645272089
DQN,400000,5,100,0.93,0.0447213595499958,114.12373500099696
DQN,425000,5,100,0.9400000000000001,0.08215838362577486,109.49888186790774
DQN,450000,5,100,0.9199999999999999,0.05700877125495688,107.59722495101065
DQN,475000,5,100,0.96,0.06519202405202651,113.42968492734019
DQN,500000,5,100,0.9,0.09354143466934854,101.66018220556717
DiscreteSAC,25000,5,100,0.29,0.11937336386313321,31.19625168658103
DiscreteSAC,50000,5,100,0.49000000000000005,0.0821583836257749,54.431909815891935
DiscreteSAC,75000,5,100,0.73,0.15247950681976905,86.1200295337072
DiscreteSAC,100000,5,100,0.9099999999999999,0.05477225575051664,105.63831124506346
DiscreteSAC,125000,5,100,0.96,0.04183300132670379,115.47395367065083
DiscreteSAC,150000,5,100,0.8699999999999999,0.057008771254956854,105.91590666177747
DiscreteSAC,175000,5,100,0.99,0.022360679774997935,118.9992578687951
DiscreteSAC,200000,5,100,0.95,0.08660254037844385,114.33801767323125
DiscreteSAC,225000,5,100,0.9400000000000001,0.04183300132670375,108.49391999173695
DiscreteSAC,250000,5,100,0.9299999999999999,0.05700877125495689,110.01828278852113
